Organism_Name,Host_Class,Host_Order,Host_label
Avian paramyxovirus 4,Aves,NA,Aves
Respirovirus muris,Mammalia,Rodentia,Rodentia
Avian orthoavulavirus 1,Aves,NA,Aves
Wenzhou pacific spadenose shark paramyxovirus,Chondrichthyes,Carcharhiniformes,Fish
Wenling triplecross lizardfish paramyxovirus,Actinopteri,Aulopiformes,Fish
Wenling tonguesole paramyxovirus,Actinopteri,Pleuronectiformes,Fish
Wenling hoplichthys paramyxovirus,Actinopteri,Perciformes,Fish
Human respirovirus 3,Mammalia,Primates,Primates
Bat paramyxovirus,Mammalia,Chiroptera,Chiroptera
Avian paramyxovirus 17,Aves,NA,Aves
Salmon aquaparamyxovirus,Actinopteri,Salmoniformes,Fish
Avian metaavulavirus 21,Aves,Columbiformes,Aves
Miniopterus schreibersii paramyxovirus,Mammalia,Chiroptera,Chiroptera
Rodent paramyxovirus,Mammalia,Rodentia,Rodentia
Feline paramyxovirus 163,Mammalia,Carnivora,Carnivora
Ruloma virus,Mammalia,Rodentia,Rodentia
Belerina virus,Mammalia,Eulipotyphla,Eulipotyphla
Giant squirrel virus,Mammalia,Rodentia,Rodentia
Bank vole virus 1,Mammalia,Rodentia,Rodentia
Pohorje myodes paramyxovirus 1,Mammalia,Rodentia,Rodentia
Alston virus,Mammalia,Chiroptera,Chiroptera
Mount mabu lophuromys virus 1,Mammalia,Rodentia,Rodentia
Mount mabu lophuromys virus 2,Mammalia,Rodentia,Rodentia
Avian metaavulavirus 20,Aves,Charadriiformes,Aves
Simian agent 10,Mammalia,Primates,Primates
Bat paramyxovirus epo_spe/ar1/drc/2009,Mammalia,Chiroptera,Chiroptera
Avian paramyxovirus 14,Aves,NA,Aves
Avian paramyxovirus 16,Aves,Anseriformes,Aves
Antarctic penguin virus a,Aves,Sphenisciformes,Aves
Antarctic penguin virus b,Aves,Sphenisciformes,Aves
Antarctic penguin virus c,Aves,Sphenisciformes,Aves
Avian metaavulavirus 6,Aves,NA,Aves
Avian metaavulavirus 8,Aves,NA,Aves
Feline morbillivirus,Mammalia,Carnivora,Carnivora
Menangle virus,Mammalia,Chiroptera,Chiroptera
Teviot virus,Mammalia,Chiroptera,Chiroptera
Avian metaavulavirus 2,Aves,NA,Aves
Avian paramyxovirus 15,Aves,Charadriiformes,Aves
Avian orthoavulavirus 13,Aves,Anseriformes,Aves
Caprine parainfluenza virus 3,Mammalia,Artiodactyla,Artiodactyla
Phocine morbillivirus,Mammalia,Carnivora,Carnivora
Salem virus,Mammalia,Perissodactyla,Perissodactyla
Avian orthoavulavirus 9,Aves,Anseriformes,Aves
Orthorubulavirus suis,Mammalia,Artiodactyla,Artiodactyla
Achimota virus 1,Mammalia,Chiroptera,Chiroptera
Achimota virus 2,Mammalia,Chiroptera,Chiroptera
Avian metaavulavirus 11,Aves,Charadriiformes,Aves
Tuhoko virus 1,Mammalia,Chiroptera,Chiroptera
Sosuga virus,Mammalia,Chiroptera,Chiroptera
Avian metaavulavirus 7,Aves,Columbiformes,Aves
Tuhoko virus 2,Mammalia,Chiroptera,Chiroptera
Avian paramyxovirus 10,Aves,Sphenisciformes,Aves
Tuhoko virus 3,Mammalia,Chiroptera,Chiroptera
Cedar virus,Mammalia,Chiroptera,Chiroptera
Mojiang virus,Mammalia,Rodentia,Rodentia
Tailam virus,Mammalia,Rodentia,Rodentia
Avian metaavulavirus 5,Aves,Psittaciformes,Aves
Avian orthoavulavirus 12,Aves,Anseriformes,Aves
Paraavulavirus wisconsinense,Aves,Galliformes,Aves
Ghana virus,Mammalia,Chiroptera,Chiroptera
Human orthorubulavirus 4,Mammalia,Primates,Primates
Nariva virus,Mammalia,Rodentia,Rodentia
Orthorubulavirus mapueraense,Mammalia,Chiroptera,Chiroptera
Beilong virus,Mammalia,Rodentia,Rodentia
J-virus,Mammalia,Rodentia,Rodentia
Mammalian orthorubulavirus 5,Mammalia,NA,NA
Orthorubulavirus simiae,Mammalia,Primates,Primates
Morbillivirus caprinae,Mammalia,Artiodactyla,Artiodactyla
Rinderpest morbillivirus,Mammalia,Artiodactyla,Artiodactyla
Mossman virus,Mammalia,Rodentia,Rodentia
Morbillivirus ceti,Mammalia,Artiodactyla,Artiodactyla
Fer-de-lance virus,Lepidosauria,Squamata,Reptilia
Human respirovirus 1,Mammalia,Primates,Primates
Tioman virus,Mammalia,Chiroptera,Chiroptera
Henipavirus nipahense,Mammalia,Chiroptera,Chiroptera
Tupaia paramyxovirus,Mammalia,Scandentia,Scandentia
Mumps orthorubulavirus,Mammalia,Primates,Primates
Respirovirus bovis,Mammalia,Artiodactyla,Artiodactyla
Measles morbillivirus,Mammalia,Primates,Primates
Morbillivirus canis,Mammalia,Carnivora,Carnivora
Henipavirus hendraense,Mammalia,Chiroptera,Chiroptera
Human orthorubulavirus 2,Mammalia,Primates,Primates
Parahenipavirus type allevard,Mammalia,Eulipotyphla,Eulipotyphla
Fraser's dolphin morbillivirus,Mammalia,Artiodactyla,Artiodactyla
Salt gully virus,Mammalia,Chiroptera,Chiroptera
Rodent jeilongvirus,Mammalia,Rodentia,Rodentia
Henipavirus sp.,Mammalia,Eulipotyphla,Eulipotyphla
Avian paramyxovirus 8,Aves,Anseriformes,Aves
Myotis bat morbillivirus,Mammalia,Chiroptera,Chiroptera
Molossid bat morbillivirus,Mammalia,Chiroptera,Chiroptera
Vampire bat morbillivirus 1,Mammalia,Chiroptera,Chiroptera
Marmoset morbillivirus,Mammalia,Primates,Primates
Caiman lizard paramyxovirus,Sarcopterygii,Crocodylia,Reptilia
Langya virus,Mammalia,Eulipotyphla,Eulipotyphla
Samak micromys paramyxovirus 2,Mammalia,Rodentia,Rodentia
Samak micromys paramyxovirus 1,Mammalia,Rodentia,Rodentia
