ref_accessions,Host_rank
PX462917.1,Eulipotyphla
PX380242.1,Primates
PX392570.1,Aves
PX392573.1,Aves
PX396315.1,Artiodactyla
PV233879.1,Chiroptera
PX093055.1,Aves
MZ328283.1,Rodentia
MZ328285.1,Rodentia
MZ328287.1,Chiroptera
MZ328288.1,Chiroptera
MZ328290.1,Chiroptera
MW363930.1,Aves
MT823461.1,Rodentia
MT823463.1,Rodentia
MW976963.1,Reptilia
MT511667.1,Artiodactyla
MW338847.1,Aves
PV874215.1,Rodentia
PV755237.1,Aves
PV643989.1,Aves
PV137999.1,Aves
PV584121.1,Aves
OP628167.1,Chiroptera
OP628168.1,Chiroptera
OP628170.1,Chiroptera
PV005834.1,Chiroptera
PV102958.1,Carnivora
PQ880034.1,Aves
PQ641429.1,Eulipotyphla
PP806834.1,Rodentia
PP806835.1,Rodentia
PQ140950.1,Eulipotyphla
PQ300082.1,Aves
PP716133.1,Aves
OR286505.1,Artiodactyla
OP236020.1,Primates
OR713879.1,Eulipotyphla
MT180123.1,Artiodactyla
MN632553.1,Artiodactyla
MN632564.1,Artiodactyla
MN632573.1,Artiodactyla
MZ229748.1,Chiroptera
MZ574408.1,Eulipotyphla
MW557651.1,Chiroptera
MZ328275.1,Rodentia
MZ328276.1,Rodentia
MZ328277.1,Rodentia
MZ328278.1,Rodentia
MZ328279.1,Rodentia
MZ328280.1,Rodentia
OQ990823.1,Primates
LC790477.1,Aves
OR367430.1,Aves
OR367433.1,Aves
OR367435.1,Aves
OR230623.1,Aves
OQ379182.1,Rodentia
OQ379183.1,Rodentia
OQ379184.1,Rodentia
OQ438284.1,Rodentia
OQ438285.1,Rodentia
OQ438286.1,Eulipotyphla
OQ438287.1,Rodentia
OQ438288.1,Chiroptera
OQ438289.1,Chiroptera
MZ852789.1,Aves
MZ824721.1,Aves
OL441592.1,Carnivora
MZ351191.1,Aves
OL409126.1,Rodentia
OM101126.1,Eulipotyphla
MZ825560.1,Aves
MW504257.1,Artiodactyla
OK210078.1,Rodentia
MW579602.1,Rodentia
MW342807.1,Aves
MT062420.1,Chiroptera
MW161159.1,Aves
MN561699.1,Eulipotyphla
MN893225.1,Primates
MN121838.1,Artiodactyla
MK037461.1,Carnivora
MG203876.1,Chiroptera
MG203877.1,Chiroptera
MG203878.1,Chiroptera
LC431581.1,Carnivora
MK677433.1,Aves
MK483105.1,Aves
MN306039.1,Primates
MK674396.1,Aves
MN062017.1,Chiroptera
MH092808.1,Aves
MH092810.1,Aves
MH844488.1,Aves
MH844489.1,Aves
MK188747.1,Carnivora
MH972568.1,Chiroptera
MH430933.1,Artiodactyla
MH430945.1,Artiodactyla
MH900516.1,Fish
MH900517.1,Fish
LS992584.1,Rodentia
MF693177.1,Artiodactyla
MH411104.1,Reptilia
MF567967.1,Artiodactyla
MH044693.1,Aves
MH019282.1,Aves
MG516455.1,Rodentia
MG573140.1,Rodentia
MG573141.1,Rodentia
MF594598.1,Aves
MG964002.2,Chiroptera
MG456905.1,Aves
KY370098.1,Rodentia
MF943130.1,Rodentia
MF448515.1,Aves
MF285077.1,Aves
KY171989.1,Aves
KY171992.1,Aves
KX352834.1,Aves
KY100868.1,Artiodactyla
KX940961.1,Rodentia
LC040886.1,Artiodactyla
KF278639.1,Rodentia
KF774436.1,Chiroptera
KF727980.1,Aves
KC013040.1,Aves
AB855653.1,Rodentia
KJ956404.1,Reptilia
MN604235.1,Carnivora
ON861833.1,Artiodactyla
OQ286221.1,Aves
ON492026.1,Artiodactyla
KC802221.1,Carnivora
KC333050.1,Aves
JX051319.1,Chiroptera
JX051320.1,Chiroptera
PP788553.1,Aves
MH892405.1,Primates
MK088517.1,Carnivora
MH289892.1,Aves
KJ647286.1,Artiodactyla
KJ647289.1,Artiodactyla
KP717417.1,Rodentia
KP271123.1,Chiroptera
AB924122.1,Carnivora
AY286409.1,Rodentia
AY141760.2,Reptilia
AF298895.2,Chiroptera
AF326114.2,Chiroptera
AF079780.2,Scandentia
FJ362497.2,Rodentia
EU403085.1,Aves
EF646380.1,Fish
EU267273.1,Artiodactyla
EF095490.1,Chiroptera
AY900001.1,Rodentia
OR270139.1,Aves
OR270142.1,Aves
PP966903.1,Rodentia
PP883550.1,Rodentia
JQ001776.1,Chiroptera
JX119193.1,Aves
JQ886184.1,Aves
JQ697837.1,Perissodactyla
HQ660095.1,Chiroptera
HQ660129.1,Chiroptera
HQ660188.2,Chiroptera
JN808857.1,Chiroptera
JN689227.1,Rodentia
HQ266603.1,Aves
HM755886.2,Aves
AB543336.1,Primates
AB543337.1,Primates
GU128080.1,Chiroptera
GU128081.1,Chiroptera
GU128082.1,Chiroptera
EU782025.1,Aves
GU206351.1,Aves
GQ288386.2,Aves
FJ231524.1,Aves
FJ986192.2,Aves
OM030314.1,Eulipotyphla
OM030315.1,Eulipotyphla
OM030316.1,Eulipotyphla
OM030317.1,Eulipotyphla
OM030330.1,Rodentia
OM030331.1,Rodentia
OM030332.1,Rodentia
OM030333.1,Chiroptera
OM030334.1,Chiroptera
OM030335.1,Chiroptera
OM030336.1,Chiroptera
OM030337.1,Chiroptera
OM030338.1,Rodentia
MZ802805.1,Aves
MZ802807.1,Aves
MZ802808.1,Aves
OL630969.1,Chiroptera
ON059816.1,Pholidota
OK623353.1,Eulipotyphla
OK623354.1,Eulipotyphla
OK623355.1,Rodentia
OK623357.1,Rodentia
OK623359.1,Rodentia
OK623360.1,Rodentia
OK623361.1,Rodentia
OK623362.1,Rodentia
OK623363.1,Rodentia
OK623364.1,Rodentia
OK623365.1,Rodentia
