Accession,Sequence description,Reason for removal
OP456084.1 ,"Avian paramyxovirus 2 isolate AMaV2/Pluvialis_squatarola/Peru/2022, complete genome",Low quality/fragmented genome
MZ031176.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/25.17/1[D8], complete genome",Low quality frameshifted genome
MZ031177.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.17/1[D8], complete genome",Low quality frameshifted genome
MZ031178.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.17/2[D8], complete genome",Low quality frameshifted genome
MZ031179.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.17/1[D8], complete genome",Low quality frameshifted genome
MZ031180.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.17/2[D8], complete genome",Low quality frameshifted genome
MZ031181.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/31.17/1[D8], complete genome",Low quality frameshifted genome
MZ031182.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/31.17/2[D8], complete genome",Low quality frameshifted genome
MZ031183.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/11.18/1[D8], complete genome",Low quality frameshifted genome
MZ031184.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/12.18/1[D8], complete genome",Low quality frameshifted genome
MZ031185.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/12.18/2[D8], complete genome",Low quality frameshifted genome
MZ031186.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/13.18/1[D8], complete genome",Low quality frameshifted genome
MZ031187.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/17.18/1[D8], complete genome",Low quality frameshifted genome
MZ031188.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/17.18/2[D8], complete genome",Low quality frameshifted genome
MZ031190.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.18/2[D8], complete genome",Low quality frameshifted genome
MZ031191.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.18/1[D8], complete genome",Low quality frameshifted genome
MZ031192.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.18/1[D8], complete genome",Low quality frameshifted genome
MZ031193.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.18/2[D8], complete genome",Low quality frameshifted genome
